<PAD>	0
<NUL>	1
纬	2
苦	3
冈	4
识	5
马	6
欢	7
雾	8
规	9
丰	10
单	11
县	12
敖	13
洙	14
柳	15
访	16
冷	17
钚	18
职	19
哇	20
L	21
往	22
鲲	23
锡	24
慈	25
盆	26
S	27
拢	28
y	29
药	30
烫	31
篑	32
咱	33
皙	34
油	35
踩	36
寺	37
亵	38
仑	39
炳	40
两	41
善	42
６	43
螨	44
钽	45
磕	46
杖	47
孔	48
鹄	49
砧	50
网	51
姓	52
胫	53
M	54
螂	55
电	56
戈	57
粉	58
扰	59
瓣	60
夺	61
飒	62
饱	63
哄	64
吻	65
寡	66
罚	67
幽	68
【	69
舔	70
以	71
汁	72
盼	73
醴	74
产	75
蹊	76
猜	77
惫	78
翎	79
怦	80
铵	81
乃	82
它	83
通	84
挚	85
佑	86
眨	87
伍	88
镶	89
圳	90
邓	91
蕊	92
嚏	93
Ｐ	94
半	95
擅	96
香	97
订	98
唬	99
莺	100
伞	101
妩	102
屯	103
音	104
湘	105
＜	106
谴	107
驹	108
洽	109
袈	110
冠	111
卢	112
钮	113
瑚	114
Ｏ	115
仞	116
陨	117
效	118
缺	119
拦	120
危	121
槽	122
肪	123
鬃	124
廿	125
空	126
a	127
辆	128
亏	129
？	130
局	131
嘀	132
趴	133
骤	134
苏	135
椰	136
D	137
畸	138
痹	139
祉	140
玩	141
谍	142
隽	143
煲	144
砺	145
庶	146
您	147
乎	148
始	149
临	150
崖	151
盏	152
皂	153
饪	154
较	155
冕	156
楣	157
厥	158
鸽	159
得	160
旬	161
徘	162
乓	163
糙	164
寅	165
俭	166
鼬	167
锥	168
臃	169
叁	170
沧	171
儿	172
v	173
阚	174
蚌	175
镭	176
统	177
禧	178
★	179
辖	180
琅	181
蚩	182
皱	183
泫	184
禹	185
梳	186
迤	187
逦	188
性	189
央	190
孪	191
帖	192
投	193
术	194
喝	195
暨	196
聆	197
Ⅱ	198
锻	199
陂	200
观	201
伢	202
箭	203
歌	204
郡	205
逛	206
沉	207
培	208
铂	209
鳌	210
肝	211
麓	212
阖	213
滇	214
力	215
跛	216
湾	217
咨	218
顷	219
猬	220
戒	221
赫	222
蜗	223
湍	224
帅	225
西	226
銮	227
醛	228
哽	229
翱	230
驳	231
铊	232
田	233
鉴	234
潸	235
麒	236
高	237
懊	238
蜜	239
芒	240
炝	241
似	242
杀	243
勺	244
泉	245
肚	246
蠕	247
大	248
污	249
复	250
